"DATE / TIME (PST)","SNOW WC INCHES",""
"01/01/1980","18.90",""
"02/01/1980","18.90",""
"03/01/1980","36.80",""
"04/01/1980","40.90",""
"05/01/1980","37.30",""
"06/01/1980","--",""
"07/01/1980","--",""
"08/01/1980","--",""
"09/01/1980","--",""
"10/01/1980","--",""
"11/01/1980","--",""
"12/01/1980","--",""
"01/01/1981","2.10",""
"02/01/1981","2.10",""
"03/01/1981","11.00",""
"04/01/1981","15.30",""
"05/01/1981","12.70",""
"06/01/1981","--",""
"07/01/1981","--",""
"08/01/1981","--",""
"09/01/1981","--",""
"10/01/1981","--",""
"11/01/1981","--",""
"12/01/1981","--",""
"01/01/1982","20.10",""
"02/01/1982","20.10",""
"03/01/1982","21.00",""
"04/01/1982","32.40",""
"05/01/1982","38.00",""
"06/01/1982","--",""
"07/01/1982","--",""
"08/01/1982","--",""
"09/01/1982","--",""
"10/01/1982","--",""
"11/01/1982","--",""
"12/01/1982","--",""
"01/01/1983","18.60",""
"02/01/1983","18.60",""
"03/01/1983","33.60",""
"04/01/1983","48.90",""
"05/01/1983","48.00",""
"06/01/1983","--",""
"07/01/1983","--",""
"08/01/1983","--",""
"09/01/1983","--",""
"10/01/1983","--",""
"11/01/1983","--",""
"12/01/1983","--",""
"01/01/1984","21.40",""
"02/01/1984","21.40",""
"03/01/1984","21.30",""
"04/01/1984","21.90",""
"05/01/1984","22.00",""
"06/01/1984","--",""
"07/01/1984","--",""
"08/01/1984","--",""
"09/01/1984","--",""
"10/01/1984","--",""
"11/01/1984","--",""
"12/01/1984","--",""
"01/01/1985","14.00",""
"02/01/1985","14.00",""
"03/01/1985","16.40",""
"04/01/1985","18.60",""
"05/01/1985","14.40",""
"06/01/1985","--",""
"07/01/1985","--",""
"08/01/1985","--",""
"09/01/1985","--",""
"10/01/1985","--",""
"11/01/1985","--",""
"12/01/1985","--",""
"01/01/1986","13.40",""
"02/01/1986","13.40",""
"03/01/1986","37.00",""
"04/01/1986","45.10",""
"05/01/1986","43.30",""
"06/01/1986","--",""
"07/01/1986","--",""
"08/01/1986","--",""
"09/01/1986","--",""
"10/01/1986","--",""
"11/01/1986","--",""
"12/01/1986","--",""
"01/01/1987","1.40",""
"02/01/1987","1.40",""
"03/01/1987","4.90",""
"04/01/1987","11.30",""
"05/01/1987","6.60",""
"06/01/1987","--",""
"07/01/1987","--",""
"08/01/1987","--",""
"09/01/1987","--",""
"10/01/1987","--",""
"11/01/1987","--",""
"12/01/1987","--",""
"01/01/1988","10.40",""
"02/01/1988","10.40",""
"03/01/1988","10.00",""
"04/01/1988","9.60",""
"05/01/1988","7.30",""
"06/01/1988","--",""
"07/01/1988","--",""
"08/01/1988","--",""
"09/01/1988","--",""
"10/01/1988","--",""
"11/01/1988","--",""
"12/01/1988","--",""
"01/01/1989","7.10",""
"02/01/1989","7.10",""
"03/01/1989","13.60",""
"04/01/1989","15.30",""
"05/01/1989","8.30",""
"06/01/1989","--",""
"07/01/1989","--",""
"08/01/1989","--",""
"09/01/1989","--",""
"10/01/1989","--",""
"11/01/1989","--",""
"12/01/1989","--",""
"01/01/1990","--",""
"02/01/1990","3.70",""
"03/01/1990","11.70",""
"04/01/1990","7.60",""
"05/01/1990","4.70",""
"06/01/1990","--",""
"07/01/1990","--",""
"08/01/1990","--",""
"09/01/1990","--",""
"10/01/1990","--",""
"11/01/1990","--",""
"12/01/1990","--",""
"01/01/1991","--",""
"02/01/1991","0.40",""
"03/01/1991","1.00",""
"04/01/1991","19.00",""
"05/01/1991","16.70",""
"06/01/1991","--",""
"07/01/1991","--",""
"08/01/1991","--",""
"09/01/1991","--",""
"10/01/1991","--",""
"11/01/1991","--",""
"12/01/1991","--",""
"01/01/1992","--",""
"02/01/1992","3.70",""
"03/01/1992","9.90",""
"04/01/1992","10.90",""
"05/01/1992","6.60",""
"06/01/1992","--",""
"07/01/1992","--",""
"08/01/1992","--",""
"09/01/1992","--",""
"10/01/1992","--",""
"11/01/1992","--",""
"12/01/1992","--",""
"01/01/1993","--",""
"02/01/1993","19.70",""
"03/01/1993","31.10",""
"04/01/1993","33.90",""
"05/01/1993","32.60",""
"06/01/1993","--",""
"07/01/1993","--",""
"08/01/1993","--",""
"09/01/1993","--",""
"10/01/1993","--",""
"11/01/1993","--",""
"12/01/1993","--",""
"01/01/1994","--",""
"02/01/1994","4.60",""
"03/01/1994","12.30",""
"04/01/1994","13.40",""
"05/01/1994","12.30",""
"06/01/1994","--",""
"07/01/1994","--",""
"08/01/1994","--",""
"09/01/1994","--",""
"10/01/1994","--",""
"11/01/1994","--",""
"12/01/1994","--",""
"01/01/1995","--",""
"02/01/1995","21.40",""
"03/01/1995","22.60",""
"04/01/1995","35.30",""
"05/01/1995","38.70",""
"06/01/1995","--",""
"07/01/1995","--",""
"08/01/1995","--",""
"09/01/1995","--",""
"10/01/1995","--",""
"11/01/1995","--",""
"12/01/1995","--",""
"01/01/1996","--",""
"02/01/1996","10.70",""
"03/01/1996","--",""
"04/01/1996","29.60",""
"05/01/1996","26.90",""
"06/01/1996","--",""
"07/01/1996","--",""
"08/01/1996","--",""
"09/01/1996","--",""
"10/01/1996","--",""
"11/01/1996","--",""
"12/01/1996","--",""
"01/01/1997","--",""
"02/01/1997","34.90",""
"03/01/1997","34.90",""
"04/01/1997","32.50",""
"05/01/1997","27.60",""
"06/01/1997","--",""
"07/01/1997","--",""
"08/01/1997","--",""
"09/01/1997","--",""
"10/01/1997","--",""
"11/01/1997","--",""
"12/01/1997","--",""
"01/01/1998","--",""
"02/01/1998","12.60",""
"03/01/1998","35.10",""
"04/01/1998","36.90",""
"05/01/1998","37.40",""
"06/01/1998","--",""
"07/01/1998","--",""
"08/01/1998","--",""
"09/01/1998","--",""
"10/01/1998","--",""
"11/01/1998","--",""
"12/01/1998","--",""
"01/01/1999","--",""
"02/01/1999","7.90","r"
"03/01/1999","14.50","r"
"04/01/1999","12.30",""
"05/01/1999","15.00",""
"06/01/1999","--",""
"07/01/1999","--",""
"08/01/1999","--",""
"09/01/1999","--",""
"10/01/1999","--",""
"11/01/1999","--",""
"12/01/1999","--",""
"01/01/2000","--",""
"02/01/2000","7.70",""
"03/01/2000","18.70","r"
"04/01/2000","22.00",""
"05/01/2000","21.00",""
"06/01/2000","--",""
"07/01/2000","--",""
"08/01/2000","--",""
"09/01/2000","--",""
"10/01/2000","--",""
"11/01/2000","--",""
"12/01/2000","--",""
"01/01/2001","--",""
"02/01/2001","3.60",""
"03/01/2001","11.10",""
"04/01/2001","13.10",""
"05/01/2001","15.10",""
"06/01/2001","--",""
"07/01/2001","--",""
"08/01/2001","--",""
"09/01/2001","--",""
"10/01/2001","--",""
"11/01/2001","--",""
"12/01/2001","--",""
"01/01/2002","--",""
"02/01/2002","16.10",""
"03/01/2002","15.10",""
"04/01/2002","19.00","r"
"05/01/2002","15.90",""
"06/01/2002","--",""
"07/01/2002","--",""
"08/01/2002","--",""
"09/01/2002","--",""
"10/01/2002","--",""
"11/01/2002","--",""
"12/01/2002","--",""
"01/01/2003","--",""
"02/01/2003","13.10",""
"03/01/2003","16.80",""
"04/01/2003","16.60",""
"05/01/2003","18.00",""
"06/01/2003","--",""
"07/01/2003","--",""
"08/01/2003","--",""
"09/01/2003","--",""
"10/01/2003","--",""
"11/01/2003","--",""
"12/01/2003","--",""
"01/01/2004","--",""
"02/01/2004","13.60",""
"03/01/2004","22.40",""
"04/01/2004","17.90",""
"05/01/2004","13.70",""
"06/01/2004","--",""
"07/01/2004","--",""
"08/01/2004","--",""
"09/01/2004","--",""
"10/01/2004","--",""
"11/01/2004","--",""
"12/01/2004","--",""
"01/01/2005","--",""
"02/01/2005","24.40",""
"03/01/2005","27.00",""
"04/01/2005","31.00",""
"05/01/2005","30.70",""
"06/01/2005","--",""
"07/01/2005","--",""
"08/01/2005","--",""
"09/01/2005","--",""
"10/01/2005","--",""
"11/01/2005","--",""
"12/01/2005","--",""
"01/01/2006","--",""
"02/01/2006","20.70","r"
"03/01/2006","24.00",""
"04/01/2006","29.90","r"
"05/01/2006","39.00",""
"06/01/2006","--",""
"07/01/2006","--",""
"08/01/2006","--",""
"09/01/2006","--",""
"10/01/2006","--",""
"11/01/2006","--",""
"12/01/2006","--",""
"01/01/2007","--",""
"02/01/2007","1.90","r"
"03/01/2007","8.40",""
"04/01/2007","7.40",""
"05/01/2007","5.10",""
"06/01/2007","--",""
"07/01/2007","--",""
"08/01/2007","--",""
"09/01/2007","--",""
"10/01/2007","--",""
"11/01/2007","--",""
"12/01/2007","--",""
"01/01/2008","--",""
"02/01/2008","14.00","r"
