"DATE / TIME (PST)","SNOW WC INCHES",""
"01/01/1980","25.80",""
"02/01/1980","25.80",""
"03/01/1980","38.70",""
"04/01/1980","41.80",""
"05/01/1980","41.80",""
"06/01/1980","--",""
"07/01/1980","--",""
"08/01/1980","--",""
"09/01/1980","--",""
"10/01/1980","--",""
"11/01/1980","--",""
"12/01/1980","--",""
"01/01/1981","8.70",""
"02/01/1981","8.70",""
"03/01/1981","11.90",""
"04/01/1981","20.90",""
"05/01/1981","18.10",""
"06/01/1981","--",""
"07/01/1981","--",""
"08/01/1981","--",""
"09/01/1981","--",""
"10/01/1981","--",""
"11/01/1981","--",""
"12/01/1981","--",""
"01/01/1982","18.50",""
"02/01/1982","18.50",""
"03/01/1982","22.60",""
"04/01/1982","30.60",""
"05/01/1982","32.80",""
"06/01/1982","--",""
"07/01/1982","--",""
"08/01/1982","--",""
"09/01/1982","--",""
"10/01/1982","--",""
"11/01/1982","--",""
"12/01/1982","--",""
"01/01/1983","--",""
"02/01/1983","33.60",""
"03/01/1983","33.60",""
"04/01/1983","45.20",""
"05/01/1983","47.00",""
"06/01/1983","--",""
"07/01/1983","--",""
"08/01/1983","--",""
"09/01/1983","--",""
"10/01/1983","--",""
"11/01/1983","--",""
"12/01/1983","--",""
"01/01/1984","20.70",""
"02/01/1984","20.70",""
"03/01/1984","24.20",""
"04/01/1984","27.00",""
"05/01/1984","26.40",""
"06/01/1984","--",""
"07/01/1984","--",""
"08/01/1984","--",""
"09/01/1984","--",""
"10/01/1984","--",""
"11/01/1984","--",""
"12/01/1984","--",""
"01/01/1985","17.00",""
"02/01/1985","17.00",""
"03/01/1985","19.90",""
"04/01/1985","23.70",""
"05/01/1985","19.30",""
"06/01/1985","--",""
"07/01/1985","--",""
"08/01/1985","--",""
"09/01/1985","--",""
"10/01/1985","--",""
"11/01/1985","--",""
"12/01/1985","--",""
"01/01/1986","15.90",""
"02/01/1986","15.90",""
"03/01/1986","42.00",""
"04/01/1986","51.20",""
"05/01/1986","48.10",""
"06/01/1986","23.80",""
"07/01/1986","--",""
"08/01/1986","--",""
"09/01/1986","--",""
"10/01/1986","--",""
"11/01/1986","--",""
"12/01/1986","--",""
"01/01/1987","2.20",""
"02/01/1987","2.20",""
"03/01/1987","6.10",""
"04/01/1987","11.50",""
"05/01/1987","9.10",""
"06/01/1987","--",""
"07/01/1987","--",""
"08/01/1987","--",""
"09/01/1987","--",""
"10/01/1987","--",""
"11/01/1987","--",""
"12/01/1987","--",""
"01/01/1988","13.40",""
"02/01/1988","13.40",""
"03/01/1988","13.50",""
"04/01/1988","13.50",""
"05/01/1988","11.20",""
"06/01/1988","--",""
"07/01/1988","--",""
"08/01/1988","--",""
"09/01/1988","--",""
"10/01/1988","--",""
"11/01/1988","--",""
"12/01/1988","--",""
"01/01/1989","8.60",""
"02/01/1989","8.60",""
"03/01/1989","14.90",""
"04/01/1989","15.10",""
"05/01/1989","8.30",""
"06/01/1989","--",""
"07/01/1989","--",""
"08/01/1989","--",""
"09/01/1989","--",""
"10/01/1989","--",""
"11/01/1989","--",""
"12/01/1989","--",""
"01/01/1990","--",""
"02/01/1990","7.40",""
"03/01/1990","8.90",""
"04/01/1990","9.30",""
"05/01/1990","7.00",""
"06/01/1990","--",""
"07/01/1990","--",""
"08/01/1990","--",""
"09/01/1990","--",""
"10/01/1990","--",""
"11/01/1990","--",""
"12/01/1990","--",""
"01/01/1991","--",""
"02/01/1991","1.70",""
"03/01/1991","--",""
"04/01/1991","19.20",""
"05/01/1991","17.60",""
"06/01/1991","--",""
"07/01/1991","--",""
"08/01/1991","--",""
"09/01/1991","--",""
"10/01/1991","--",""
"11/01/1991","--",""
"12/01/1991","--",""
"01/01/1992","--",""
"02/01/1992","7.80",""
"03/01/1992","--",""
"04/01/1992","19.80",""
"05/01/1992","--",""
"06/01/1992","--",""
"07/01/1992","--",""
"08/01/1992","--",""
"09/01/1992","--",""
"10/01/1992","--",""
"11/01/1992","--",""
"12/01/1992","--",""
"01/01/1993","--",""
"02/01/1993","21.40",""
"03/01/1993","31.00",""
"04/01/1993","32.70",""
"05/01/1993","33.90",""
"06/01/1993","--",""
"07/01/1993","--",""
"08/01/1993","--",""
"09/01/1993","--",""
"10/01/1993","--",""
"11/01/1993","--",""
"12/01/1993","--",""
"01/01/1994","--",""
"02/01/1994","5.00",""
"03/01/1994","13.00",""
"04/01/1994","15.90",""
"05/01/1994","16.40",""
"06/01/1994","--",""
"07/01/1994","--",""
"08/01/1994","--",""
"09/01/1994","--",""
"10/01/1994","--",""
"11/01/1994","--",""
"12/01/1994","--",""
"01/01/1995","--",""
"02/01/1995","19.40",""
"03/01/1995","22.90",""
"04/01/1995","38.30",""
"05/01/1995","37.50",""
"06/01/1995","--",""
"07/01/1995","--",""
"08/01/1995","--",""
"09/01/1995","--",""
"10/01/1995","--",""
"11/01/1995","--",""
"12/01/1995","--",""
"01/01/1996","--",""
"02/01/1996","12.40",""
"03/01/1996","23.30",""
"04/01/1996","29.00",""
"05/01/1996","34.10",""
"06/01/1996","--",""
"07/01/1996","--",""
"08/01/1996","--",""
"09/01/1996","--",""
"10/01/1996","--",""
"11/01/1996","--",""
"12/01/1996","--",""
"01/01/1997","--",""
"02/01/1997","37.20",""
"03/01/1997","31.20",""
"04/01/1997","35.30",""
"05/01/1997","33.60",""
"06/01/1997","--",""
"07/01/1997","--",""
"08/01/1997","--",""
"09/01/1997","--",""
"10/01/1997","--",""
"11/01/1997","--",""
"12/01/1997","--",""
"01/01/1998","--",""
"02/01/1998","12.50",""
"03/01/1998","28.90",""
"04/01/1998","32.20",""
"05/01/1998","35.60",""
"06/01/1998","--",""
"07/01/1998","--",""
"08/01/1998","--",""
"09/01/1998","--",""
"10/01/1998","--",""
"11/01/1998","--",""
"12/01/1998","--",""
"01/01/1999","--",""
"02/01/1999","6.50","r"
"03/01/1999","--",""
"04/01/1999","10.60",""
"05/01/1999","--",""
"06/01/1999","--",""
"07/01/1999","--",""
"08/01/1999","--",""
"09/01/1999","--",""
"10/01/1999","--",""
"11/01/1999","--",""
"12/01/1999","--",""
"01/01/2000","--",""
"02/01/2000","10.20",""
"03/01/2000","--",""
"04/01/2000","20.10",""
"05/01/2000","--",""
"06/01/2000","--",""
"07/01/2000","--",""
"08/01/2000","--",""
"09/01/2000","--",""
"10/01/2000","--",""
"11/01/2000","--",""
"12/01/2000","--",""
"01/01/2001","--",""
"02/01/2001","5.80",""
"03/01/2001","21.10",""
"04/01/2001","17.40",""
"05/01/2001","--",""
"06/01/2001","--",""
"07/01/2001","--",""
"08/01/2001","--",""
"09/01/2001","--",""
"10/01/2001","--",""
"11/01/2001","--",""
"12/01/2001","--",""
"01/01/2002","--",""
"02/01/2002","17.60",""
"03/01/2002","--",""
"04/01/2002","19.60",""
"05/01/2002","--",""
"06/01/2002","--",""
"07/01/2002","--",""
"08/01/2002","--",""
"09/01/2002","--",""
"10/01/2002","--",""
"11/01/2002","--",""
"12/01/2002","--",""
"01/01/2003","--",""
"02/01/2003","12.70",""
"03/01/2003","--",""
"04/01/2003","17.60",""
"05/01/2003","--",""
"06/01/2003","--",""
"07/01/2003","--",""
"08/01/2003","--",""
"09/01/2003","--",""
"10/01/2003","--",""
"11/01/2003","--",""
"12/01/2003","--",""
"01/01/2004","--",""
"02/01/2004","13.80",""
"03/01/2004","--",""
"04/01/2004","23.10","r"
"05/01/2004","--",""
"06/01/2004","--",""
"07/01/2004","--",""
"08/01/2004","--",""
"09/01/2004","--",""
"10/01/2004","--",""
"11/01/2004","--",""
"12/01/2004","--",""
"01/01/2005","--",""
"02/01/2005","26.30",""
"03/01/2005","--",""
"04/01/2005","35.70",""
"05/01/2005","--",""
"06/01/2005","--",""
"07/01/2005","--",""
"08/01/2005","--",""
"09/01/2005","--",""
"10/01/2005","--",""
"11/01/2005","--",""
"12/01/2005","--",""
"01/01/2006","--",""
"02/01/2006","24.30",""
"03/01/2006","--",""
"04/01/2006","29.60","r"
"05/01/2006","--",""
"06/01/2006","--",""
"07/01/2006","--",""
"08/01/2006","--",""
"09/01/2006","--",""
"10/01/2006","--",""
"11/01/2006","--",""
"12/01/2006","--",""
"01/01/2007","--",""
"02/01/2007","5.40",""
"03/01/2007","--",""
"04/01/2007","11.20",""
"05/01/2007","--",""
"06/01/2007","--",""
"07/01/2007","--",""
"08/01/2007","--",""
"09/01/2007","--",""
"10/01/2007","--",""
"11/01/2007","--",""
"12/01/2007","--",""
"01/01/2008","--",""
"02/01/2008","11.50",""
"03/01/2008","--",""
"04/01/2008","13.90",""
"05/01/2008","--",""
"06/01/2008","--",""
"07/01/2008","--",""
"08/01/2008","--",""
"09/01/2008","--",""
"10/01/2008","--",""
"11/01/2008","--",""
"12/01/2008","--",""
"01/01/2009","--",""
"02/01/2009","12.80",""
"03/01/2009","--",""
"04/01/2009","17.30",""
"05/01/2009","--",""
"06/01/2009","--",""
"07/01/2009","--",""
"08/01/2009","--",""
"09/01/2009","--",""
"10/01/2009","--",""
"11/01/2009","--",""
"12/01/2009","--",""
"01/01/2010","--",""
"02/01/2010","16.30",""
"03/01/2010","--",""
"04/01/2010","24.30",""
"05/01/2010","--",""
"06/01/2010","--",""
"07/01/2010","--",""
"08/01/2010","--",""
"09/01/2010","--",""
"10/01/2010","--",""
"11/01/2010","--",""
"12/01/2010","--",""
"01/01/2011","--",""
"02/01/2011","27.70",""
