"DATE / TIME (PST)","MON FNF AF",""
"01/01/1980","138,623",""
"02/01/1980","159,033",""
"03/01/1980","130,700",""
"04/01/1980","204,072",""
"05/01/1980","284,376",""
"06/01/1980","274,923",""
"07/01/1980","198,878",""
"08/01/1980","69,894",""
"09/01/1980","35,094",""
"10/01/1980","27,101",""
"11/01/1980","24,322",""
"12/01/1980","28,610",""
"01/01/1981","25,843",""
"02/01/1981","32,239",""
"03/01/1981","43,185",""
"04/01/1981","67,534",""
"05/01/1981","90,787",""
"06/01/1981","65,684",""
"07/01/1981","25,480",""
"08/01/1981","15,618",""
"09/01/1981","12,254",""
"10/01/1981","14,040",""
"11/01/1981","18,456",""
"12/01/1981","21,463",""
"01/01/1982","33,811",""
"02/01/1982","49,500",""
"03/01/1982","71,368",""
"04/01/1982","202,876",""
"05/01/1982","253,013",""
"06/01/1982","194,865",""
"07/01/1982","124,608",""
"08/01/1982","58,083",""
"09/01/1982","60,584",""
"10/01/1982","45,091",""
"11/01/1982","55,225",""
"12/01/1982","73,679",""
"01/01/1983","80,980",""
"02/01/1983","121,218",""
"03/01/1983","227,410",""
"04/01/1983","182,141",""
"05/01/1983","465,938",""
"06/01/1983","567,208",""
"07/01/1983","285,287",""
"08/01/1983","152,620",""
"09/01/1983","61,129",""
"10/01/1983","46,690",""
"11/01/1983","66,042",""
"12/01/1983","93,679",""
"01/01/1984","68,847",""
"02/01/1984","54,154",""
"03/01/1984","77,234",""
"04/01/1984","87,742",""
"05/01/1984","159,370",""
"06/01/1984","90,537",""
"07/01/1984","72,440",""
"08/01/1984","45,652",""
"09/01/1984","26,888",""
"10/01/1984","26,311",""
"11/01/1984","33,600",""
"12/01/1984","35,455",""
"01/01/1985","36,705",""
"02/01/1985","36,964",""
"03/01/1985","48,869",""
"04/01/1985","133,569",""
"05/01/1985","147,366",""
"06/01/1985","100,242",""
"07/01/1985","38,500",""
"08/01/1985","23,340",""
"09/01/1985","16,796",""
"10/01/1985","16,082",""
"11/01/1985","21,247",""
"12/01/1985","31,716",""
"01/01/1986","39,805",""
"02/01/1986","143,610",""
"03/01/1986","196,178",""
"04/01/1986","198,642",""
"05/01/1986","283,900",""
"06/01/1986","250,417",""
"07/01/1986","107,524",""
"08/01/1986","46,110",""
"09/01/1986","24,270",""
"10/01/1986","32,274",""
"11/01/1986","23,378",""
"12/01/1986","22,665",""
"01/01/1987","23,824",""
"02/01/1987","27,319",""
"03/01/1987","37,016",""
"04/01/1987","55,361",""
"05/01/1987","72,773",""
"06/01/1987","58,005",""
"07/01/1987","26,498",""
"08/01/1987","13,408",""
"09/01/1987","10,150",""
"10/01/1987","11,792",""
"11/01/1987","13,448","r"
"12/01/1987","15,198",""
"01/01/1988","21,493",""
"02/01/1988","18,597",""
"03/01/1988","28,410",""
"04/01/1988","39,113",""
"05/01/1988","57,438",""
"06/01/1988","41,521",""
"07/01/1988","19,775",""
"08/01/1988","13,676",""
"09/01/1988","10,957",""
"10/01/1988","8,836",""
"11/01/1988","9,977",""
"12/01/1988","14,597",""
"01/01/1989","15,366",""
"02/01/1989","22,614",""
"03/01/1989","64,000",""
"04/01/1989","90,235",""
"05/01/1989","69,776",""
"06/01/1989","48,409",""
"07/01/1989","22,120",""
"08/01/1989","12,268",""
"09/01/1989","10,169",""
"10/01/1989","10,433",""
"11/01/1989","10,475",""
"12/01/1989","10,003",""
"01/01/1990","11,441",""
"02/01/1990","11,810",""
"03/01/1990","21,378",""
"04/01/1990","31,960",""
"05/01/1990","38,476",""
"06/01/1990","29,100",""
"07/01/1990","14,852",""
"08/01/1990","8,140",""
"09/01/1990","6,240",""
"10/01/1990","8,283",""
