"DATE / TIME (PST)","MON FNF AF",""
"01/01/1980","16,807",""
"02/01/1980","13,234",""
"03/01/1980","13,854",""
"04/01/1980","18,748",""
"05/01/1980","17,340",""
"06/01/1980","31,999",""
"07/01/1980","35,656",""
"08/01/1980","18,079",""
"09/01/1980","16,156",""
"10/01/1980","15,582",""
"11/01/1980","13,983",""
"12/01/1980","16,363",""
"01/01/1981","14,923",""
"02/01/1981","12,532",""
"03/01/1981","14,161",""
"04/01/1981","8,552",""
"05/01/1981","9,839",""
"06/01/1981","12,133",""
"07/01/1981","6,926",""
"08/01/1981","7,348",""
"09/01/1981","9,805",""
"10/01/1981","11,634",""
"11/01/1981","15,343",""
"12/01/1981","13,693",""
"01/01/1982","14,196",""
"02/01/1982","14,919",""
"03/01/1982","15,479",""
"04/01/1982","16,083",""
"05/01/1982","18,806",""
"06/01/1982","32,196",""
"07/01/1982","33,401",""
"08/01/1982","21,286",""
"09/01/1982","23,888",""
"10/01/1982","22,711",""
"11/01/1982","20,538",""
"12/01/1982","19,322",""
"01/01/1983","18,652",""
"02/01/1983","15,709",""
"03/01/1983","19,273",""
"04/01/1983","24,709",""
"05/01/1983","20,338",""
"06/01/1983","44,991",""
"07/01/1983","41,400",""
"08/01/1983","34,847",""
"09/01/1983","21,815",""
"10/01/1983","19,483",""
"11/01/1983","20,141",""
"12/01/1983","24,540",""
"01/01/1984","17,568",""
"02/01/1984","16,614",""
"03/01/1984","16,144",""
"04/01/1984","13,807",""
"05/01/1984","20,505",""
"06/01/1984","22,244",""
"07/01/1984","23,811",""
"08/01/1984","14,225",""
"09/01/1984","11,024",""
"10/01/1984","13,303",""
"11/01/1984","14,262",""
"12/01/1984","14,984",""
"01/01/1985","13,818",""
"02/01/1985","13,415",""
"03/01/1985","13,240",""
"04/01/1985","9,101",""
"05/01/1985","11,134",""
"06/01/1985","12,500",""
"07/01/1985","9,224",""
"08/01/1985","6,484",""
"09/01/1985","11,140",""
"10/01/1985","12,482",""
"11/01/1985","13,275",""
"12/01/1985","13,875",""
"01/01/1986","13,974",""
"02/01/1986","21,304",""
"03/01/1986","24,190",""
"04/01/1986","14,983",""
"05/01/1986","23,443",""
"06/01/1986","42,010",""
"07/01/1986","26,210",""
"08/01/1986","14,324",""
"09/01/1986","14,038",""
"10/01/1986","14,560",""
"11/01/1986","12,945",""
"12/01/1986","13,119",""
"01/01/1987","14,458",""
"02/01/1987","12,792",""
"03/01/1987","11,580",""
"04/01/1987","7,731",""
