"DATE / TIME (PST)","SNOW WC INCHES",""
"01/01/1980","29.60",""
"02/01/1980","29.60",""
"03/01/1980","50.90",""
"04/01/1980","62.50",""
"05/01/1980","54.80",""
"06/01/1980","--",""
"07/01/1980","--",""
"08/01/1980","--",""
"09/01/1980","--",""
"10/01/1980","--",""
"11/01/1980","--",""
"12/01/1980","--",""
"01/01/1981","15.20",""
"02/01/1981","15.20",""
"03/01/1981","18.00",""
"04/01/1981","25.70",""
"05/01/1981","25.50",""
"06/01/1981","--",""
"07/01/1981","--",""
"08/01/1981","--",""
"09/01/1981","--",""
"10/01/1981","--",""
"11/01/1981","--",""
"12/01/1981","--",""
"01/01/1982","34.80",""
"02/01/1982","34.80",""
"03/01/1982","39.60",""
"04/01/1982","47.60",""
"05/01/1982","61.30",""
"06/01/1982","--",""
"07/01/1982","--",""
"08/01/1982","--",""
"09/01/1982","--",""
"10/01/1982","--",""
"11/01/1982","--",""
"12/01/1982","--",""
"01/01/1983","35.00",""
"02/01/1983","35.00",""
"03/01/1983","63.30",""
"04/01/1983","73.40",""
"05/01/1983","72.20",""
"06/01/1983","--",""
"07/01/1983","--",""
"08/01/1983","--",""
"09/01/1983","--",""
"10/01/1983","--",""
"11/01/1983","--",""
"12/01/1983","--",""
"01/01/1984","32.70",""
"02/01/1984","32.70",""
"03/01/1984","39.60",""
"04/01/1984","38.90",""
"05/01/1984","40.00",""
"06/01/1984","--",""
"07/01/1984","--",""
"08/01/1984","--",""
"09/01/1984","--",""
"10/01/1984","--",""
"11/01/1984","--",""
"12/01/1984","--",""
"01/01/1985","21.20",""
"02/01/1985","21.20",""
"03/01/1985","25.50",""
"04/01/1985","34.90",""
"05/01/1985","29.90",""
"06/01/1985","--",""
"07/01/1985","--",""
"08/01/1985","--",""
"09/01/1985","--",""
"10/01/1985","--",""
"11/01/1985","--",""
"12/01/1985","--",""
"01/01/1986","21.60",""
"02/01/1986","21.60",""
"03/01/1986","56.00",""
"04/01/1986","64.50",""
"05/01/1986","63.50",""
"06/01/1986","--",""
"07/01/1986","--",""
"08/01/1986","--",""
"09/01/1986","--",""
"10/01/1986","--",""
"11/01/1986","--",""
"12/01/1986","--",""
"01/01/1987","4.10",""
"02/01/1987","4.10",""
"03/01/1987","13.20",""
"04/01/1987","18.30",""
"05/01/1987","16.20",""
"06/01/1987","--",""
"07/01/1987","--",""
"08/01/1987","--",""
"09/01/1987","--",""
"10/01/1987","--",""
"11/01/1987","--",""
"12/01/1987","--",""
"01/01/1988","22.60",""
"02/01/1988","22.60",""
"03/01/1988","21.10",""
"04/01/1988","22.10",""
"05/01/1988","23.70",""
"06/01/1988","--",""
"07/01/1988","--",""
"08/01/1988","--",""
"09/01/1988","--",""
"10/01/1988","--",""
"11/01/1988","--",""
"12/01/1988","--",""
"01/01/1989","14.10",""
"02/01/1989","14.10",""
"03/01/1989","19.80",""
"04/01/1989","26.70",""
"05/01/1989","23.00",""
"06/01/1989","--",""
"07/01/1989","--",""
"08/01/1989","--",""
"09/01/1989","--",""
"10/01/1989","--",""
"11/01/1989","--",""
"12/01/1989","--",""
"01/01/1990","--",""
"02/01/1990","9.90",""
"03/01/1990","18.10",""
"04/01/1990","21.90",""
"05/01/1990","19.70",""
"06/01/1990","--",""
"07/01/1990","--",""
"08/01/1990","--",""
"09/01/1990","--",""
"10/01/1990","--",""
"11/01/1990","--",""
"12/01/1990","--",""
"01/01/1991","3.30",""
"02/01/1991","3.30",""
"03/01/1991","3.10",""
"04/01/1991","24.60",""
"05/01/1991","26.50",""
"06/01/1991","--",""
"07/01/1991","--",""
"08/01/1991","--",""
"09/01/1991","--",""
"10/01/1991","--",""
"11/01/1991","--",""
"12/01/1991","--",""
"01/01/1992","--",""
"02/01/1992","10.10",""
"03/01/1992","--",""
"04/01/1992","22.10",""
"05/01/1992","--",""
"06/01/1992","--",""
"07/01/1992","--",""
"08/01/1992","--",""
"09/01/1992","--",""
"10/01/1992","--",""
"11/01/1992","--",""
"12/01/1992","--",""
"01/01/1993","--",""
"02/01/1993","35.10",""
"03/01/1993","55.20",""
"04/01/1993","59.90",""
"05/01/1993","56.90",""
"06/01/1993","--",""
"07/01/1993","--",""
"08/01/1993","--",""
"09/01/1993","--",""
"10/01/1993","--",""
"11/01/1993","--",""
"12/01/1993","--",""
"01/01/1994","--",""
"02/01/1994","9.60",""
"03/01/1994","16.80",""
"04/01/1994","22.90",""
"05/01/1994","23.90",""
"06/01/1994","--",""
"07/01/1994","--",""
"08/01/1994","--",""
"09/01/1994","--",""
"10/01/1994","--",""
"11/01/1994","--",""
"12/01/1994","--",""
"01/01/1995","--",""
"02/01/1995","37.90",""
"03/01/1995","38.20",""
"04/01/1995","68.10",""
"05/01/1995","70.10",""
"06/01/1995","--",""
"07/01/1995","--",""
"08/01/1995","--",""
"09/01/1995","--",""
"10/01/1995","--",""
"11/01/1995","--",""
"12/01/1995","--",""
"01/01/1996","--",""
"02/01/1996","20.60",""
"03/01/1996","36.10",""
"04/01/1996","47.10",""
"05/01/1996","47.00",""
"06/01/1996","--",""
"07/01/1996","--",""
"08/01/1996","--",""
"09/01/1996","--",""
"10/01/1996","--",""
"11/01/1996","--",""
"12/01/1996","--",""
"01/01/1997","--",""
"02/01/1997","40.50",""
"03/01/1997","50.50",""
"04/01/1997","54.00",""
"05/01/1997","50.90",""
"06/01/1997","--",""
"07/01/1997","--",""
"08/01/1997","--",""
"09/01/1997","--",""
"10/01/1997","--",""
"11/01/1997","--",""
"12/01/1997","--",""
"01/01/1998","--",""
"02/01/1998","18.30",""
"03/01/1998","42.50",""
"04/01/1998","50.70",""
"05/01/1998","50.40",""
"06/01/1998","53.50",""
"07/01/1998","--",""
"08/01/1998","--",""
"09/01/1998","--",""
"10/01/1998","--",""
"11/01/1998","--",""
"12/01/1998","--",""
"01/01/1999","--",""
"02/01/1999","15.80","r"
"03/01/1999","27.70",""
"04/01/1999","31.30","r"
"05/01/1999","42.00",""
"06/01/1999","--",""
"07/01/1999","--",""
"08/01/1999","--",""
"09/01/1999","--",""
"10/01/1999","--",""
"11/01/1999","--",""
"12/01/1999","--",""
"01/01/2000","--",""
"02/01/2000","13.00",""
"03/01/2000","34.30",""
"04/01/2000","36.10",""
"05/01/2000","37.80",""
"06/01/2000","--",""
"07/01/2000","--",""
"08/01/2000","--",""
"09/01/2000","--",""
"10/01/2000","--",""
"11/01/2000","--",""
"12/01/2000","--",""
"01/01/2001","--",""
"02/01/2001","8.70",""
"03/01/2001","17.90","r"
"04/01/2001","22.70",""
"05/01/2001","25.00",""
"06/01/2001","--",""
"07/01/2001","--",""
"08/01/2001","--",""
"09/01/2001","--",""
"10/01/2001","--",""
"11/01/2001","--",""
"12/01/2001","--",""
"01/01/2002","--",""
"02/01/2002","28.40",""
"03/01/2002","29.10",""
"04/01/2002","32.50",""
"05/01/2002","33.30",""
"06/01/2002","--",""
"07/01/2002","--",""
"08/01/2002","--",""
"09/01/2002","--",""
