"DATE / TIME (PST)","MON FNF AF",""
"01/01/1980","326,840",""
"02/01/1980","282,470",""
"03/01/1980","215,780",""
"04/01/1980","314,700",""
"05/01/1980","527,540",""
"06/01/1980","642,080",""
"07/01/1980","426,460",""
"08/01/1980","113,410",""
"09/01/1980","37,000",""
"10/01/1980","23,860",""
"11/01/1980","19,300",""
"12/01/1980","29,400",""
"01/01/1981","36,490",""
"02/01/1981","56,730",""
"03/01/1981","87,270",""
"04/01/1981","205,950",""
"05/01/1981","317,700",""
"06/01/1981","208,240",""
"07/01/1981","51,380",""
"08/01/1981","19,020",""
"09/01/1981","12,700",""
"10/01/1981","18,750",""
"11/01/1981","70,400",""
"12/01/1981","64,900",""
"01/01/1982","119,240",""
"02/01/1982","198,780",""
"03/01/1982","231,450",""
"04/01/1982","612,930",""
"05/01/1982","725,350",""
"06/01/1982","584,620",""
"07/01/1982","371,470",""
"08/01/1982","148,370",""
"09/01/1982","169,790",""
"10/01/1982","125,950",""
"11/01/1982","145,530",""
"12/01/1982","211,900",""
"01/01/1983","227,000",""
"02/01/1983","271,310",""
"03/01/1983","427,870",""
"04/01/1983","280,460",""
"05/01/1983","727,500",""
"06/01/1983","1,166,100",""
"07/01/1983","686,030",""
"08/01/1983","280,290",""
"09/01/1983","91,940",""
"10/01/1983","53,060",""
"11/01/1983","148,770",""
"12/01/1983","226,650",""
"01/01/1984","126,400",""
"02/01/1984","107,450",""
"03/01/1984","162,490",""
"04/01/1984","203,010",""
"05/01/1984","489,030",""
"06/01/1984","266,160",""
"07/01/1984","162,280",""
"08/01/1984","67,460",""
"09/01/1984","36,090",""
"10/01/1984","31,070",""
"11/01/1984","49,680",""
"12/01/1984","40,980",""
"01/01/1985","39,730",""
"02/01/1985","55,840",""
"03/01/1985","84,300",""
"04/01/1985","253,710",""
"05/01/1985","307,920",""
"06/01/1985","168,990",""
"07/01/1985","55,230",""
"08/01/1985","22,110",""
"09/01/1985","19,460",""
"10/01/1985","23,900",""
"11/01/1985","38,300",""
"12/01/1985","67,700",""
"01/01/1986","93,400",""
"02/01/1986","472,400",""
"03/01/1986","426,200",""
"04/01/1986","361,400",""
"05/01/1986","624,300",""
"06/01/1986","593,400",""
"07/01/1986","222,200",""
"08/01/1986","76,400",""
"09/01/1986","31,800",""
"10/01/1986","23,900",""
"11/01/1986","14,200",""
"12/01/1986","14,600",""
"01/01/1987","20,700",""
"02/01/1987","39,500",""
"03/01/1987","65,800",""
"04/01/1987","171,600",""
"05/01/1987","228,500",""
"06/01/1987","120,600",""
"07/01/1987","33,200",""
"08/01/1987","15,000",""
"09/01/1987","10,031",""
"10/01/1987","16,260",""
"11/01/1987","24,276",""
"12/01/1987","25,360",""
"01/01/1988","59,390",""
"02/01/1988","48,340",""
"03/01/1988","91,370",""
"04/01/1988","152,680",""
"05/01/1988","219,540",""
"06/01/1988","141,930",""
"07/01/1988","48,574",""
"08/01/1988","22,830",""
"09/01/1988","11,592",""
"10/01/1988","7,236",""
"11/01/1988","13,851",""
"12/01/1988","19,570",""
"01/01/1989","22,310",""
"02/01/1989","37,230",""
"03/01/1989","132,575",""
"04/01/1989","237,482",""
"05/01/1989","240,200",""
"06/01/1989","149,280",""
"07/01/1989","41,154",""
"08/01/1989","18,907",""
"09/01/1989","19,370",""
"10/01/1989","23,030",""
"11/01/1989","22,088",""
"12/01/1989","16,729",""
"01/01/1990","24,927",""
"02/01/1990","33,583",""
"03/01/1990","85,112",""
"04/01/1990","172,691",""
"05/01/1990","165,351",""
"06/01/1990","122,158",""
"07/01/1990","54,021",""
"08/01/1990","14,339",""
"09/01/1990","8,487",""
"10/01/1990","7,714",""
"11/01/1990","5,665",""
"12/01/1990","8,580",""
"01/01/1991","9,904",""
"02/01/1991","11,324",""
"03/01/1991","117,514",""
"04/01/1991","135,419",""
"05/01/1991","277,408",""
